goal,shot_statsbomb_xg,minute,second,possession,play_pattern,possession_team,team,player,shot_body_part,shot_technique,shot_type,under_pressure,off_camera,shot_outcome,x,y,competition
0,0.0148529,22,14,56,0,1,1,6,1,0,1,,,5,91.6,49.1,Indian Super league 2021/2022
1,0.40100747,23,11,57,2,0,0,12,2,1,1,,,1,104.2,36.3,Indian Super league 2021/2022
0,0.23998916,26,32,61,0,1,1,2,0,1,1,,,5,115.6,43.4,Indian Super league 2021/2022
0,0.065021165,29,24,66,5,0,0,14,1,1,1,,,3,96.7,49.4,Indian Super league 2021/2022
0,0.042652104,40,51,87,5,1,1,0,2,1,1,True,,0,110.7,52.1,Indian Super league 2021/2022
0,0.015724314,41,37,88,0,1,1,10,2,2,1,,,2,91.1,46.6,Indian Super league 2021/2022
0,0.07118778,47,36,105,0,0,0,1,0,1,1,True,,2,113.7,35.5,Indian Super league 2021/2022
0,0.039614014,50,40,112,4,0,0,8,2,1,1,True,,2,93.3,43.6,Indian Super league 2021/2022
0,0.07368727,53,13,118,4,1,1,5,2,1,1,,,4,98.6,43.8,Indian Super league 2021/2022
0,0.014438139,57,8,131,1,1,1,7,1,1,1,True,,4,114.0,23.4,Indian Super league 2021/2022
0,0.004895528,60,54,138,0,0,0,8,2,0,1,,,0,77.2,37.9,Indian Super league 2021/2022
0,0.25535917,62,31,142,2,1,1,13,2,0,1,,,2,104.9,36.1,Indian Super league 2021/2022
0,0.26077035,63,24,144,5,1,1,5,1,1,1,,,2,103.1,45.6,Indian Super league 2021/2022
0,0.20941205,69,43,160,5,1,1,5,1,1,1,,,2,111.9,29.7,Indian Super league 2021/2022
0,0.005425286,70,53,163,2,1,1,5,2,1,1,,,0,89.7,60.7,Indian Super league 2021/2022
0,0.034402214,74,19,174,5,1,1,9,2,1,1,,,2,86.7,45.7,Indian Super league 2021/2022
0,0.106849946,78,29,177,3,0,0,12,2,1,1,,,4,104.4,47.5,Indian Super league 2021/2022
0,0.019087527,79,18,178,0,0,0,4,2,0,1,,,2,104.4,56.2,Indian Super league 2021/2022
0,0.44641575,83,50,187,5,0,0,12,2,0,1,,,4,111.7,41.3,Indian Super league 2021/2022
0,0.0287875,90,15,196,2,1,1,9,2,1,0,,,0,91.0,28.7,Indian Super league 2021/2022
0,0.01768654,90,17,196,2,1,1,9,1,0,1,True,,2,96.7,25.8,Indian Super league 2021/2022
0,0.032118164,6,16,19,6,0,0,4,2,2,0,,,0,92.0,46.0,Indian Super league 2021/2022
1,0.14968324,9,21,26,6,1,1,9,1,0,0,,,1,114.2,43.7,Indian Super league 2021/2022
